chroma_freqs,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,genre
0.28035656,1648.8351694525165,2189.9858650908577,3759.8921136347158,0.05289486961040216,-233.7151,101.19902,17.6509,23.740635,2.0798852,25.938902,-16.969044,15.079571,-22.277378,4.3853855,-23.19758,-6.0366454,-5.0570984,1.0690374,-5.7785144,-8.310135,-11.384392,-6.7234993,-10.013582,-14.02613,blues
0.36562574,2645.785682883694,2426.248037122265,5612.796763975493,0.13647177711716937,-52.697247,74.433365,-18.696768,56.312366,-3.9390392,31.985342,-16.466188,22.40312,-12.257939,27.212437,-9.248946,7.7854033,-10.568447,6.943705,-9.126266,13.016836,-9.857112,3.6898384,-4.938475,4.4217305,blues
0.39105102,1811.7712543400935,2052.5062498487905,3928.8186765878772,0.07550308451759474,-145.28098,102.80664,-12.529431,57.005886,2.2628694,26.585436,-4.2885375,17.328524,-7.9934354,15.229498,-6.9346995,7.4587684,-10.4684515,-2.3595665,-6.785852,2.6683176,-4.7704,-0.95205194,0.022584919,-2.004562,blues
0.26969042,1420.3651651340074,1731.1642811796812,2929.964494815835,0.06370125495456304,-238.51553,120.110176,-4.2293587,42.290695,5.928563,13.917268,5.3578677,1.8955575,-16.936676,12.35062,3.9459798,-1.3935846,0.019285198,3.5883965,-4.5009103,-5.540558,-6.8874693,-4.8232512,1.7473668,-1.8821971,blues
0.36716157,2515.4624865561696,2531.268049309255,5770.931744852088,0.12089020507057231,-55.976925,87.84771,-1.6107054,41.19908,-5.6179037,27.789425,-23.989286,21.777727,-18.419083,12.323681,-13.7124815,11.851964,-3.9711192,7.099815,-4.4678864,5.117015,-6.6431236,5.867205,-3.7048788,-1.9614248,blues
0.39017493,2278.9612516967195,2375.248702933134,5198.59486024507,0.09252533171403712,-109.51259,86.921364,-8.594191,64.489525,-6.3015084,43.64349,-8.2908325,28.545784,-14.082675,8.128631,-21.488085,11.088339,-5.0916853,3.9764977,-12.861214,12.336756,0.020516876,-0.7430939,-5.130959,3.297938,blues
0.30852604,1835.004265512071,1748.1721158264975,3579.757626703886,0.10146053871809745,-160.3377,126.219635,-35.58781,22.148071,-32.478603,10.852294,-23.352331,0.49843353,-11.793437,1.207255,-13.088418,-2.813867,-6.9333844,-7.5527253,-9.164666,-4.5205755,-5.454034,-0.91687363,-4.404826,-11.703234,blues
0.2486341,1188.3081417864564,1682.835307654503,2339.291912884281,0.048163866130123745,-328.5607,102.728516,19.836584,26.706007,7.145409,22.727982,-6.951727,12.816983,-10.727914,-0.42469418,-12.378796,-8.898336,-9.208457,-9.089533,-8.994874,-7.6578846,-7.2112923,-9.397146,-4.47567,-3.6794353,blues
0.38796747,1913.0115998173114,2361.735333192992,4777.823081315255,0.05845780162412993,-182.57378,90.667564,14.124545,67.54922,2.6786995,38.429825,-8.410713,24.12955,-13.78995,4.83309,-16.685228,5.8176017,-5.1466966,0.19426659,-14.485502,6.8640895,-4.4397974,-2.9864414,-4.814492,5.4059744,blues
0.40888816,2207.2191647229342,2191.664121020965,4658.382916727088,0.11153393573569219,-28.951168,104.517815,-30.971535,38.15845,-8.001604,30.886063,-20.604153,25.816149,-12.962702,16.93776,-12.270351,10.782378,-10.55727,6.877261,-10.293695,6.957575,-10.259581,0.70470244,-5.999726,1.3507861,blues
0.4665292,2224.1107373201194,2254.8556747024654,4700.23360462587,0.10850946200696056,-86.47736,92.698875,-15.3258505,54.053932,0.8953605,31.571152,-14.60364,23.317848,-14.964167,15.332833,-7.043209,12.178524,-6.0861163,7.0280614,-5.800631,7.4283266,-6.0767937,3.3958118,-4.281493,1.2262887,blues
0.38686773,2390.39009977241,2463.308268746796,5403.435075587297,0.10226074596384377,-107.170265,88.48819,-4.169412,55.47771,-8.013871,38.41516,-6.4100246,28.572668,-19.821608,13.23809,-19.2531,12.072361,-4.578394,3.786518,-16.986383,11.620651,-7.359709,-3.666061,-7.1765757,1.9754492,blues
0.4429657,2310.498240496839,2206.581011273916,4829.324574481583,0.12843231885634185,-90.64326,100.09118,-23.929043,52.593006,-20.921095,31.491982,-11.215683,20.078363,-10.893812,17.551392,-14.089797,12.984856,-11.429146,2.9194195,-12.0139675,4.809922,-11.147454,1.1592172,-3.9128745,3.2357695,blues
0.37459317,2340.802465391952,2256.6151021309415,4972.962530361804,0.12179161832946636,-116.57126,97.41709,-13.875514,48.960175,-22.583496,27.748411,-20.233152,18.630678,-14.630755,8.474961,-16.633268,11.013935,-13.859323,9.72848,-5.1017423,2.6333237,-9.873258,6.15033,-7.687686,-4.834908,blues
0.36715207,1352.6596654421637,1756.7797951648834,2880.7778626196346,0.043930584759280744,-287.92374,124.01875,5.469892,33.65741,1.0954971,14.705335,-4.8770084,8.670525,0.78540516,6.579526,-4.874974,-3.1782238,-5.5361576,-6.7844357,-2.6481562,-2.9945593,-3.3868177,-1.8526473,1.8399631,-4.8908033,blues
0.30418554,1454.9639409753458,1825.7979596938358,3009.460817412268,0.06134406117072699,-233.7591,120.67514,-3.1748059,39.51848,3.8183367,18.837143,-3.6778173,4.4331384,-14.965527,17.578217,1.841872,2.549422,-1.2331678,8.439486,-0.2018978,-3.8945017,-4.45685,0.009554138,1.2930309,-2.0980818,blues
0.2606353,1430.4924328152892,2075.5012632225817,3245.4683874709976,0.04197368341550657,-238.9512,108.70544,34.145847,30.21115,-0.5025824,27.292957,-21.39948,14.171863,-24.51231,-1.884266,-28.0575,-11.255747,-16.464361,-7.6406937,-12.784872,-15.3524685,-13.7459,-7.4084854,-10.078316,-13.2909355,blues
0.45193884,2503.94548833885,2180.550532894031,5077.372752320186,0.16753371519721577,-82.505005,94.15339,-27.101465,75.66221,-27.51367,35.57133,-20.290781,25.110947,-15.360643,11.344384,-13.393383,8.13859,-8.497068,8.291397,-10.344198,-3.4679127,-5.226763,-2.5885463,-8.359233,-6.98389,blues
0.33023137,2840.060760885935,2444.1894680781293,5711.836175409658,0.15441054294760248,-129.12653,72.0825,-7.7535663,49.242702,-32.715286,21.595112,-27.360632,14.991587,-10.249059,12.41981,-17.025764,7.111831,-18.006039,2.918357,-14.474677,4.0654206,-14.521494,7.2534523,-8.207306,-2.0070472,blues
0.2699323,1537.5876985238385,2054.5295106953618,3495.51500643489,0.056141769987432324,-252.49301,104.93711,15.332313,42.66697,6.7830586,21.605682,-1.297841,5.6754074,-16.632635,12.173101,-1.9472849,1.9508444,-0.8903191,7.7705235,2.3802433,1.7754055,1.3253622,3.6095116,4.907691,-2.6554596,blues
0.37021473,1538.394496500457,1703.2818137002153,3174.215634516386,0.07476858565351895,-177.2296,136.23885,-26.89892,36.377254,-18.750824,20.904533,-1.7669032,3.0081384,-5.599135,5.64315,-8.1052265,5.6506796,-10.783147,-2.4200435,-6.9393377,-2.5173802,-5.208159,-3.4111605,-3.2577195,-2.6912603,blues
0.38013545,2116.917658960695,1956.4159121316643,4195.660527842228,0.127271093145785,-26.977493,107.32024,-46.83066,40.923653,-21.46411,24.829718,-18.930464,15.269159,-15.049077,12.265072,-15.231662,14.33676,-13.827368,7.555096,-6.1830907,0.3378979,-6.822725,0.9678087,-7.56615,2.9202735,blues
0.31187263,2280.276471978505,2119.8660015977293,4733.132941650957,0.11714180624033256,-144.89153,95.71116,-21.605843,49.618885,-29.869568,29.345917,-18.841982,17.888395,-9.6631565,5.508204,-9.547621,6.3534265,-21.079596,2.4575613,-9.535299,-1.4167383,-9.31276,5.1513157,-8.104987,-2.4379585,blues
0.3024563,1831.993939606849,1729.6532869429993,3481.5175917198376,0.09404153373936582,-177.77425,118.20548,-17.56588,30.762398,-21.747839,11.920993,-20.730993,3.1865778,-8.586039,-0.93285215,-11.772434,-2.4058323,-9.343665,-9.93621,-3.9039948,-5.5765896,-1.8382629,-2.7837996,-3.0479093,-8.109991,blues
0.40887925,1719.3689480431458,2031.7403810025385,3782.316288428074,0.06402488761600927,-121.363945,122.50667,-14.738195,46.131065,-8.181879,20.182962,-19.173378,23.039139,-11.838223,21.16,-6.718366,6.992541,-12.730596,5.0613246,-5.183214,-1.4525597,-7.0418243,2.6952481,3.4123054,-2.7156928,blues
0.35008812,1784.1658495387549,2002.4490601176958,3805.8396058403423,0.08304482066898686,-113.57065,121.57179,-19.168142,42.36642,-6.3646636,18.623499,-13.704889,15.34315,-12.27411,10.976572,-8.326573,8.803793,-3.6723,5.747995,-5.162882,0.75273985,-1.6902146,-0.40897897,-2.3035226,1.2212901,blues
0.3065368,1155.781220867789,1497.964258762891,2169.033055847593,0.05856995903422274,-233.95625,136.1457,3.3244114,48.92853,8.715444,13.966022,5.3665967,0.39953962,-13.469852,16.877718,5.148092,-2.249821,3.9479067,5.3164883,0.810559,-1.1070809,-4.5564804,-2.4307845,3.324835,-0.6024474,blues
0.27837846,1198.4590845429227,1573.5002754703671,2477.275945747535,0.05197268646075019,-284.8484,108.74955,9.129683,51.251312,18.123716,7.6327777,8.775374,2.3653817,0.019261053,2.2369275,4.190629,-3.3045807,1.6140482,2.6918643,3.3761284,3.2927868,-4.524483,0.49672052,5.9219756,3.2145398,blues
0.43293655,2032.001859230746,1976.3832347576233,4023.561439602668,0.11311924485208817,-98.74344,104.79365,-35.09825,60.70181,-2.833249,22.234495,-7.83117,19.03585,-11.573603,17.018518,-5.3761516,12.200969,-9.956365,0.35334754,-4.268688,6.1336985,-4.8226047,1.500582,-1.4938405,3.5092015,blues
0.31530824,1311.8487999488907,1673.7053271343575,2636.8514696019433,0.05939169143948182,-180.18817,131.44896,0.59028906,43.146328,14.139362,25.625078,-5.3112435,12.026699,-13.540604,-1.1033919,-7.6059217,2.716888,0.7825517,1.9988489,-6.0999703,3.4756615,-8.3282795,3.2186556,-0.92494714,-2.2452435,blues
0.40583923,2235.589429058707,2099.8120761227233,4389.434375453161,0.1422416527697216,-86.23715,91.96127,-23.417446,68.26248,-3.8877366,22.74717,-9.899862,16.890066,-11.391862,18.431488,-7.0117035,10.761971,-11.946138,0.9908667,-5.927924,5.319791,-6.135271,1.9495975,-5.093714,-0.67163056,blues
0.37802714,1006.6456939324204,1530.2908447793359,2074.4401759171983,0.032053605955143075,-194.26636,151.8695,-1.2119415,39.191307,16.58687,18.250896,-1.3981677,14.875311,-11.62124,2.4475844,-5.0824556,3.939676,-0.89767194,0.63913375,-8.356959,-7.5220733,-8.053614,-5.4166894,-2.534207,0.12586257,blues
0.4214355,2442.8714095935434,2358.6150380411736,5267.699288989994,0.12468240948859242,-3.5548325,92.92088,-25.078384,45.174667,-10.851961,31.862457,-18.039074,28.624466,-10.219611,14.66683,-14.900479,14.735523,-15.599457,9.548924,-14.786189,2.0659883,-13.809603,3.5670724,-5.9622893,-1.6469549,blues
0.42438546,1886.9548087305845,1913.2586101558968,3828.2887611477668,0.08993966913186388,-92.70346,115.31911,-35.06798,57.877247,1.8523946,26.612562,-14.53698,22.13024,-8.20334,11.0209,-5.647607,7.2775116,-10.205894,1.3295714,-4.1035075,0.9756063,-6.5549684,-0.68907845,-2.1272218,-1.5083671,blues
0.2573248,1195.4703757774462,1481.3188804548583,2235.264725474913,0.05888603900812065,-236.65675,138.40926,-4.912911,47.629173,5.1842003,8.876615,0.5138149,-3.804674,-14.988871,10.4170685,-0.33363783,0.7759847,1.7773185,4.2329874,-0.4678415,-6.1052146,-5.390519,-1.3412131,-3.723019,-4.3647776,blues
0.3989206,2155.8796287547634,2372.127373624907,5011.574078270011,0.08717463022041763,-109.105995,100.60877,-8.656534,47.350414,-6.5582976,39.607635,-8.515619,29.565546,-16.585535,13.163907,-24.209251,6.5765624,-8.647178,4.9274163,-15.434491,1.5337996,-6.7489653,1.4113466,-3.969472,3.2838326,blues
